Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:42450720


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
42450720;1;01/01/2020;01/01/1900 07:00:00;0;1;45;18;27;26;14;0;0;0;;0;27;27;26;25;25;25;25;24;23;23;23;22;20;19;18;19;20;20;22;26;25;26;25;29;43;45;43;42;40;40;39;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/01/2020;01/01/1900 17:00:00;0;1;45;18;27;26;14;0;0;0;;0;27;26;26;25;25;24;24;23;23;22;22;21;20;18;18;18;21;21;22;26;26;26;25;29;42;45;43;41;40;39;39;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/01/2020;;1;1;45;18;27;26;14;0;0;0;;0;27;27;26;25;25;25;25;24;23;23;23;22;20;19;18;19;21;21;22;26;26;26;25;29;43;45;43;42;40;40;39;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/12/2019;01/01/1900 07:00:00;0;1;30;22;26;8;23;0;0;0;;0;24;24;25;25;26;27;30;30;29;29;28;28;28;29;27;26;26;25;25;25;24;23;22;23;23;24;24;25;24;25;25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/12/2019;01/01/1900 17:00:00;0;1;30;22;26;8;23;0;0;0;;0;24;24;25;25;28;27;29;30;29;28;28;27;27;29;27;26;26;25;24;24;24;23;22;23;23;23;24;25;25;25;25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/12/2019;;1;1;30;22;26;8;23;0;0;0;;0;24;24;25;25;27;27;30;30;29;29;28;28;28;29;27;26;26;25;25;25;24;23;22;23;23;24;24;25;25;25;25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/11/2019;01/01/1900 07:00:00;0;1;25;19;22;7;15;0;0;0;;0;22;22;22;24;24;24;25;24;23;22;22;21;20;20;20;19;20;20;24;23;23;23;23;24;24;24;24;24;24;24;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/11/2019;01/01/1900 17:00:00;0;1;25;19;22;7;15;0;0;0;;0;22;21;22;24;23;24;24;23;22;22;21;20;20;21;19;19;20;20;23;23;23;23;23;24;24;24;24;24;24;24;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/11/2019;;1;1;25;19;22;7;15;0;0;0;;0;22;22;22;24;24;24;25;24;23;22;22;21;20;21;20;19;20;20;24;23;23;23;23;24;24;24;24;24;24;24;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/10/2019;01/01/1900 07:00:00;0;1;56;21;27;1;31;0;0;0;;0;56;55;24;24;24;24;25;25;36;34;33;33;28;25;24;24;23;22;22;22;23;28;28;29;28;27;25;24;24;23;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/10/2019;01/01/1900 17:00:00;0;1;56;21;27;1;31;0;0;0;;0;25;24;24;23;24;24;24;25;36;34;33;32;27;25;24;23;23;22;22;23;23;28;28;28;27;26;24;24;24;22;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/10/2019;;1;1;56;21;27;1;31;0;0;0;;0;41;40;24;24;24;24;25;25;36;34;33;33;28;25;24;24;23;22;22;23;23;28;28;29;28;27;25;24;24;23;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/09/2019;01/01/1900 07:00:00;0;1;30;23;25;1;15;0;0;0;;0;30;30;29;29;29;28;27;26;28;27;26;26;25;25;24;24;23;23;24;23;23;24;23;23;24;24;24;23;24;27;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/09/2019;01/01/1900 17:00:00;0;1;30;23;25;1;15;0;0;0;;0;29;29;28;28;28;27;27;27;27;27;26;25;25;24;23;23;23;23;23;23;23;23;23;23;24;23;23;23;23;26;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/09/2019;;1;1;30;23;25;1;15;0;0;0;;0;30;30;29;29;29;28;27;27;28;27;26;26;25;25;24;24;23;23;24;23;23;24;23;23;24;24;24;23;24;27;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/08/2019;01/01/1900 17:00:00;0;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;30;30;31;30;30;30;30;29;28;29;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/08/2019;01/01/1900 07:00:00;0;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;33;30;32;31;31;30;30;30;30;30;29;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/08/2019;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;32;30;32;31;31;30;30;30;29;30;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/07/2019;01/01/1900 07:00:00;0;1;50;36;44;1;22;0;0;0;;0;50;50;50;50;50;50;48;50;50;50;48;48;48;48;48;48;44;42;38;38;38;36;36;36;38;38;36;36;36;36;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/07/2019;01/01/1900 17:00:00;0;1;50;36;44;1;22;0;0;0;;0;50;50;50;50;50;50;48;48;50;50;48;48;48;48;48;48;44;42;38;38;38;36;36;36;38;38;36;36;36;36;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/07/2019;;1;1;50;36;44;1;22;0;0;0;;0;50;50;50;50;50;50;48;49;50;50;48;48;48;48;48;48;44;42;38;38;38;36;36;36;38;38;36;36;36;36;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/06/2019;01/01/1900 07:00:00;0;1;50;40;47;1;29;0;0;0;;0;50;50;48;48;50;50;48;48;50;50;50;48;48;50;50;48;50;50;50;50;48;48;48;46;42;42;42;42;40;42;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/06/2019;01/01/1900 17:00:00;0;1;50;40;47;1;29;0;0;0;;0;50;50;48;48;48;50;48;48;50;50;50;48;48;48;50;48;50;48;50;50;48;48;46;46;42;42;42;42;40;40;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/06/2019;;1;1;50;40;47;1;29;0;0;0;;0;50;50;48;48;49;50;48;48;50;50;50;48;48;49;50;48;50;49;50;50;48;48;47;46;42;42;42;42;40;41;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/05/2019;01/01/1900 17:00:00;0;1;70;50;55;2;23;0;0;0;;0;60;70;68;66;62;56;56;56;56;56;52;60;56;54;52;52;54;52;56;52;52;52;50;52;52;50;50;50;52;50;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/05/2019;01/01/1900 07:00:00;0;1;70;50;55;2;23;0;0;0;;0;60;70;68;66;62;56;56;56;56;56;52;60;56;54;52;52;54;54;56;52;52;52;50;52;52;50;50;50;52;50;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/05/2019;;1;1;70;50;55;2;23;0;0;0;;0;60;70;68;66;62;56;56;56;56;56;52;60;56;54;52;52;54;53;56;52;52;52;50;52;52;50;50;50;52;50;50;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/04/2019;01/01/1900 07:00:00;0;1;;;;;;0;0;0;;0;54;52;50;48;50;54;52;50;100;60;76;72;60;60;64;60;52;64;58;68;60;68;64;62;60;58;60;56;56;70;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
42450720;1;01/04/2019;01/01/1900 17:00:00;0;1;;;;;;0;0;0;;0;52;50;50;48;50;52;52;50;96;60;72;72;60;62;64;62;52;64;58;66;60;68;64;62;60;58;60;56;56;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
42450720;1;01/04/2019;;1;1;;;;;;0;0;0;;0;53;51;50;48;50;53;52;50;98;60;74;72;60;61;64;61;52;64;58;67;60;68;64;62;60;58;60;56;56;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
42450720;1;01/03/2019;01/01/1900 07:00:00;0;1;88;40;52;21;14;0;0;0;;0;42;42;58;56;52;64;54;52;50;46;42;50;44;40;42;42;42;44;42;42;88;50;80;50;50;48;56;88;58;50;54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/03/2019;01/01/1900 17:00:00;0;1;88;40;52;21;14;0;0;0;;0;44;42;58;50;56;58;58;52;50;46;42;48;42;40;44;44;50;44;42;42;78;50;80;48;50;48;56;80;57;50;52;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/03/2019;;1;1;88;40;52;21;14;0;0;0;;0;43;42;58;53;54;61;56;52;50;46;42;49;43;40;43;43;46;44;42;42;83;50;80;49;50;48;56;84;58;50;53;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/02/2019;01/01/1900 17:00:00;0;1;;;;;;0;0;0;;0;;;;40;42;46;48;46;50;46;44;42;42;40;42;44;46;44;44;42;46;42;44;42;50;44;46;46;;;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/02/2019;01/01/1900 07:00:00;0;1;;;;;;0;0;0;;0;;;;40;44;46;48;46;50;46;48;42;42;40;44;44;46;44;44;42;46;46;44;44;46;44;46;44;;;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/02/2019;;1;1;;;;;;0;0;0;;0;;;;40;43;46;48;46;50;46;46;42;42;40;43;44;46;44;44;42;46;44;44;43;48;44;46;45;;;;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/03/2018;01/01/1900 17:00:00;0;1;58;40;48;4;30;0;0;0;;0;46;46;47;46;57;54;52;51;52;50;50;49;48;48;48;50;47;48;46;45;49;48;47;50;48;46;47;44;41;40;40;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/03/2018;01/01/1900 07:00:00;0;1;58;40;48;4;30;0;0;0;;0;47;47;47;58;56;52;52;52;54;50;51;49;48;48;49;52;48;49;45;45;47;48;48;50;48;45;46;45;40;42;40;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/03/2018;;1;1;58;40;48;4;30;0;0;0;;0;47;47;47;52;57;53;52;52;53;50;51;49;48;48;49;51;48;49;46;45;48;48;48;50;48;46;47;45;41;41;40;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/02/2018;01/01/1900 17:00:00;0;1;60;40;47;4;13;0;0;0;;0;48;48;49;59;58;56;47;48;46;44;43;42;40;42;44;42;43;44;46;45;46;42;45;44;44;52;48;46;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/02/2018;01/01/1900 07:00:00;0;1;60;40;47;4;13;0;0;0;;0;48;47;47;60;59;58;48;49;47;44;42;44;42;44;44;42;43;43;46;46;46;48;46;46;45;48;49;47;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/02/2018;;1;1;60;40;47;4;13;0;0;0;;0;48;48;48;60;59;57;48;49;47;44;43;43;41;43;44;42;43;44;46;46;46;45;46;45;45;50;49;47;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
42450720;1;01/01/2018;;1;1;396;32;47;20;24;0;0;0;;0;45;44;45;46;47;51;47;44;41;40;40;39;40;41;41;39;38;40;39;217;36;36;35;33;38;49;46;44;40;40;41;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
42450720;1;01/12/2017;;1;1;56;30;42;17;6;0;0;0;;0;45;39;38;36;34;31;41;40;37;39;40;40;43;45;44;44;56;55;50;47;41;43;41;49;47;46;42;40;39;38;36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
