Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Linígrafo, 3 = Data Logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60472000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
60472000;1;01/10/1996;01/01/1900 07:00:00;0;1;22;17;41;1;10;1;1;1;;0;21;22;21;22;22;21;22;21;20;19;21;19;22;22;21;22;22;22;22;22;22;20;19;20;22;22;22;22;21;21;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/10/1996;01/01/1900 17:00:00;0;1;22;17;41;1;10;1;1;1;;0;19;20;20;19;22;21;20;18;18;17;19;20;22;19;19;22;22;22;21;21;19;19;18;19;19;21;21;19;19;21;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/10/1996;;1;1;22;17;41;1;10;1;1;1;;0;20;21;21;21;22;21;21;20;19;18;20;20;22;21;20;22;22;22;22;22;21;20;19;20;21;22;22;21;20;21;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/09/1996;01/01/1900 17:00:00;0;1;22;17;41;1;14;1;1;1;;0;22;22;21;22;22;22;21;22;20;20;19;19;19;17;22;19;17;19;21;21;21;19;22;17;20;20;17;19;19;20;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60472000;1;01/09/1996;01/01/1900 07:00:00;0;1;22;17;41;1;14;1;1;1;;0;21;22;22;21;22;21;22;21;22;21;22;22;21;19;21;22;21;22;22;20;22;22;22;21;22;20;21;21;21;20;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60472000;1;01/09/1996;;1;1;22;17;41;1;14;1;1;1;;0;22;22;22;22;22;22;22;22;21;21;21;21;20;18;22;21;19;21;22;21;22;21;22;19;21;20;19;20;20;20;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
60472000;1;01/08/1996;01/01/1900 07:00:00;0;1;24;20;44;8;1;1;1;1;;0;22;20;20;21;20;20;21;22;22;22;21;20;22;24;22;22;21;20;21;22;24;24;22;21;23;22;21;21;22;21;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/08/1996;01/01/1900 17:00:00;0;1;24;20;44;8;1;1;1;1;;0;23;22;23;22;23;22;22;24;23;23;24;22;21;23;24;22;22;23;24;22;24;24;23;22;22;22;22;23;21;21;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/08/1996;;1;1;24;20;44;8;1;1;1;1;;0;23;21;22;22;22;21;22;23;23;23;23;21;22;24;23;22;22;22;23;22;24;24;23;22;23;22;22;22;22;21;22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/07/1996;01/01/1900 17:00:00;0;1;29;20;48;1;3;1;1;1;;0;29;22;25;24;26;24;23;22;23;28;23;22;24;29;26;24;26;24;27;29;26;25;29;25;23;26;27;24;27;25;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
60472000;1;01/07/1996;01/01/1900 07:00:00;0;1;29;20;48;1;3;1;1;1;;0;27;24;20;22;20;22;25;20;24;27;21;24;20;28;27;22;20;22;26;25;22;20;27;22;24;20;24;25;20;23;21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
